City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Fort Wellington,GY,2022-02-03 02:43:14,6.4,-57.6,76.89,80,2,9.06
260,Abrau-Dyurso,RU,2022-02-03 02:43:14,44.69,37.59,53.06,86,100,14.32
261,Hirara,JP,2022-02-03 02:43:15,24.8,125.2833,70.07,94,75,8.05
262,Fort Beaufort,ZA,2022-02-03 02:43:15,-32.7748,26.6338,70.74,98,71,1.36
263,Tessalit,ML,2022-02-03 02:43:16,20.1986,1.0114,58.1,16,12,12.08
264,Colquechaca,BO,2022-02-03 02:43:16,-18.6667,-66.0167,34.86,89,73,4.56
265,Guerrero Negro,MX,2022-02-03 02:43:16,27.9769,-114.0611,60.17,28,0,17.81
266,Edd,ER,2022-02-03 02:43:17,13.9297,41.6925,79.3,69,76,9.91
267,Kondinskoye,RU,2022-02-03 02:43:17,59.6481,67.41,10.76,96,82,7.96
268,Gouyave,GD,2022-02-03 02:43:18,12.1646,-61.7296,77.77,78,20,17.27
269,San Patricio,US,2022-02-03 02:43:18,28.017,-97.5169,72.01,80,100,6.8
270,Nancha,CN,2022-02-03 02:43:19,47.1333,129.2667,9.57,61,41,8.14
271,Aklavik,CA,2022-02-03 02:44:19,68.2191,-135.0107,-24.77,98,100,4.18
272,Avarua,CK,2022-02-03 02:44:20,-21.2078,-159.775,82.45,78,40,16.11
273,Yerofey Pavlovich,RU,2022-02-03 02:44:20,53.9667,121.9667,0.9,62,99,3.56
274,Vardo,NO,2022-02-03 02:44:21,70.3705,31.1107,29.57,56,100,18.95
275,Azare,NG,2022-02-03 02:44:21,11.6765,10.1948,58.33,17,89,8.28
276,Dalgopol,BG,2022-02-03 02:44:21,43.05,27.35,34.47,91,100,6.02
277,Katsuura,JP,2022-02-03 02:44:22,35.1333,140.3,46.51,45,99,4.12
278,Sept-Iles,CA,2022-02-03 02:42:49,50.2001,-66.3821,28.92,94,100,3.0
279,Mersing,MY,2022-02-03 02:44:22,2.4312,103.8405,84.11,79,40,9.22
280,Kaitangata,NZ,2022-02-03 02:44:23,-46.2817,169.8464,53.73,95,100,4.97
281,Castro,BR,2022-02-03 02:44:23,-24.7911,-50.0119,62.6,99,6,6.06
282,Bakel,SN,2022-02-03 02:44:24,14.905,-12.4568,74.82,15,59,11.68
283,Shamkhal,RU,2022-02-03 02:44:24,43.0596,47.3373,37.38,79,41,1.34
284,Alyangula,AU,2022-02-03 02:44:25,-13.8483,136.4192,87.67,70,100,10.36
285,Moju,BR,2022-02-03 02:44:25,-1.8839,-48.7689,77.07,98,91,2.37
286,Barahona,DO,2022-02-03 02:44:26,18.2085,-71.1008,74.16,83,1,2.71
